Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
"  Chalghaf, B., Chlif, S., Mayala, B., Ghawar, W., Bettaieb, J., Harrabi, M., Benie, G.B., Michael, E. & Salah, A.B. (2016) Ecological Niche Modeling for the Prediction of the Geographic Distribution of Cutaneous Leishmaniasis in Tunisia. American Journal of Tropical Medicine and Hygiene10.4269/ajtmh.15-0345",Ecological Niche Modeling for the Prediction of the Geographic Distribution of Cutaneous Leishmaniasis in Tunisia.,Cutaneous Leishmaniasis in Tunisia,American Journal of Tropical Medicine and Hygiene10.4269/ajtmh.15-0345,2016,,,,,9,,,,,,,,,"Cutaneous leishmaniasis is a very complex disease involving multiple factors that limit its emergence and spatial distribution. Prediction of cutaneous leishmaniasis epidemics in Tunisia remains difficult because most of the epidemiological tools used so far are descriptive in nature and mainly focus on a time dimension. The purpose of this work is to predict the potential geographic distribution of Phlebotomus papatasi and zoonotic cutaneous leishmaniasis caused by Leishmania major in Tunisia using Grinnellian ecological niche modeling. We attempted to assess the importance of environmental factors influencing the potential distribution of P. papatasi and cutaneous leishmaniasis caused by L. major. Vectors were trapped in central Tunisia during the transmission season using CDC light traps (John W. Hock Co., Gainesville, FL). A global positioning system was used to record the geographical coordinates of vector occurrence points and households tested positive for cutaneous leishmaniasis caused by L. major. Nine environmental layers were used as predictor variables to model the P. papatasi geographical distribution and five variables were used to model the L. major potential distribution. Ecological niche modeling was used to relate known species' occurrence points to values of environmental factors for these same points to predict the presence of the species in unsampled regions based on the value of the predictor variables. Rainfall and temperature contributed the most as predictors for sand flies and human case distributions. Ecological niche modeling anticipated the current distribution of P. papatasi with the highest suitability for species occurrence in the central and southeastern part of Tunisian. Furthermore, our study demonstrated that governorates of Gafsa, Sidi Bouzid, and Kairouan are at highest epidemic risk."
"Hildenwall, H., Amos, B., Mtove, G., Muro, F., Cederlund, K. &Reyburn, H. (2016) Causes of non-malarial febrile illness in outpatients in Tanzania. Tropical Medicine & International Health 21 (1), 149–156.", Causes of non-malarial febrile illness in outpatients in Tanzania,non-malarial febrile,Medicine & International Health,2016,21,1,149,156,6,,,,,,,,,"Objective: In sub-Saharan Africa the use of malaria rapid diagnostic tests (mRDT) has raised awareness of alternative fever causes in children but few studies have included adults. To address this gap we conducted a study of mRDT-negative fever aetiologies among children and adults in Tanzania. Methods: 1028 patients aged 3 months to 50 years with a febrile illness and negative mRDT were enrolled from a Tanzanian hospital outpatient department. All had a physical examination and cultures from blood, nasopharynx/throat and urine. Patients were followed on Days 7 and 14 and children meeting WHO criteria for pneumonia were followed on Day 2 with chest radiology. Results: Respiratory symptoms were the most frequent presenting complaint, reported by 20.3% of adults and 64.0% (339/530) of children. Of 38 X-rayed children meeting WHO pneumonia criteria 47.4% had a normal X-ray. Overall only 1.3% of 1028 blood cultures were positive. Salmonella typhi was the most prevalent pathogen isolated (7/13, 53.8%) and S. typhi patients reported fever for a median of 7 days (range 2-14). Children with bacteraemia did not present with WHO symptoms requiring antibiotic treatment. Young children and adults had similar prevalences of positive urine cultures (24/428 and 29/498, respectively). Conclusion: Few outpatient fevers are caused by blood stream bacterial infection and most adult bacteraemia would be identified by current clinical guidelines although paediatric bacteraemia may be more difficult to diagnose. While pneumonia may be over-diagnosed, urinary tract infection was relatively common. Our results emphasise the difficulty in identifying African children in need of antibiotics among the majority who do not. This article is protected by copyright. All rights reserved."
"   Hoza, A.S., Mfinanga, S.G.M., Rodloff, A.C., Moser, I., Konig, B. (2016) Increased isolation of nontuberculous mycobacteria among TB suspects in northeastern Tanzania: public health and diagnostic implications for control programmes.  BMC Research Notes 9:109. Doi: 10.1186/s 1304-016-1928-3",Increased isolation of nontuberculous mycobacteria among TB suspects in northeastern Tanzania: public health and diagnostic implications for control programmes., TB,  BMC Research Notes,2016,9,,109,,5, 10.1186/s 1304-016-1928-3,,,,,,,,"Non-tuberculous mycobacteria (NTM) are increasingly reported worldwide associated with human disease. Defining the significance of NTM in settings with endemic tuberculosis (TB) requires the discrimination of NTM from TB in suspect patients. Correct and timely identification of NTM will impact both therapy and epidemiology of TB and TB-like diseases. The present study aimed at determining the frequency and diversity of NTM among TB suspects in northeastern Tanzania. A cross-sectional study was conducted between November 2012 through January 2013. Seven hundred and forty-four sputum samples were collected from 372 TB suspects. Detection was done by using phenotypic, GenoType® Mycobacterium CM/AS kits, 16S rRNA and hsp65 gene sequencing for identification of isolates not identified by Hain kits. Binary regression model was used to analyse the predictors of NTM detection. The prevalence of NTM was 9.7 % of the mycobacterial isolates. Out of 36 patients with confirmed NTM infection, 12 were HIV infected with HIV being a significant predictor of NTM detection (P < 0.001). Co-infection with Mycobacterium tuberculosis (M. tb) was found in five patients. Twenty-eight NTM isolates were identified using GenoType® Mycobacterium CM/AS and eight isolates could not be identified. Identified species included M. gordonae and M. interjectum 6 (16.7 %), M. intracelullare 4 (11.1 %), M. avium spp. and M. fortuitum 2 (5.5 %), M. kansasii, M. lentiflavum, M. simiae, M. celatum, M. marinum 1 (2.8 %) each. Of isolates not identified to subspecies level, we identified M. kumamotonense (2), M. intracellulare/kansasii, M. intermedium/triplex, M. acapulcensis/flavescens, M. stomatepiae, M. colombiense and M. terrae complex (1) each using 16S rRNA sequencing. Additionally, hsp65 gene sequencing identified M. kumamotonense, M. scrofulaceum/M. avium, M. avium, M. flavescens/novocastrense, M. kumamotonense/hiberniae, M. lentiflavum, M. colombiense/M. avium and M. kumamotonense/terrae/hiberniae (1) each. Results of the 16S rRNA and hsp65 gene sequencing were concordant in three and discordant in five isolates not identified by GenoType® Mycobacterium CM/AS. NTM infections may play a vital role in causing lung disease and impact management of TB in endemic settings. GenoType® Mycobacterium CM/AS represents a useful tool to identify clinical NTM infections. However, 16S rRNA gene sequencing should be thought for confirmatory diagnosis of the clinical isolates. Due to the complexity and inconsistence of NTM identification, we recommend diagnosis of NTM infections be centralized by strengthening and setting up quality national and regional infrastructure. "
"Innocent, E., Augustino, S., Kisinza, W. (2016) Plants used to control mosquitoes and treat mosquito-related diseases in Maasailand of Longido District, Tanzania. European Journal of Medicinal Plants 12 92), 1-12.","Plants used to control mosquitoes and treat mosquito-related diseases in Maasailand of Longido District, Tanzania.",mosquitoes and treat mosquito-related,European Journal of Medicinal Plants,2016,12,92,1,12,3,,,,,,,,,"Aim: This paper provides an understanding of the ethnobotanical knowledge of medicinal plants used to control mosquitoes and handle mosquito related diseases among the Maasai living in Olmolog and Engarenaibo division of Longido district, Arusha, Tanzania. Methods: Data were collected between March, 2014 to March, 2015 through semi-structured questionnaires involving male and female heads of the households (Bomas), participant observations, as well as focus group discussions (FGD) with knowledgeable tribe leaders (Leingwenanis) and other key informants in the area. Qualitative and quantitative data analysis was done using the Statistical Package for Social Science and Ms Excel computer software tools. A total of 174 participants were interviewed on the use of ethno-medicine to control mosquitoes and treat mosquito related diseases. Results: About 35% of the respondents indicate to use treated bednets while 41% of interviewed respondents mentioned to use combination of methods including keeping home premises clean, followed by only a few (2%) who claimed to use repellent plants/herbs. Knowledge on medicinal plants used for malaria remedies was immense, and seemed to be a preferred treatment before consulting medical personnels. This was evident in FGD where the Maasai communities indicated to rely more on malaria parasite treatment by taking some herbal remedies that clears the parasites in the blood than using plants for controlling/killing mosquitoes. Majority of respondents were aware of diseases caused by mosquitoes with frequency mention of malaria (75%). Tagetes minuta (Nang’ongudeyo), Cynodon plectostachyus (Emurua) and Azadirachta indica (Mwarobaini) were frequently metioned as mosquito repellent plants and obtained from the study areas. Likewise, Salvadora persica (Oremit/Mswaki) and Osyris abyssinica (Olesai) were highly ranked as effective anti-malarial plants. Conclusion: There is great need to conserve the documented plant species used in control of mosquitoes and treat mosquito related diseases in the area concurrently preserving the indigenous knowledge amidst a rapidly changing Maasai society as well as unpredicted climate changes."
"Mboera, L.E.G., Mweya, C.N., Rumisha, S.F., Tungu, P.K., Stanley, G., Makange, M.R., Misinzo, G., De Nardo, P., Vairo, F. &Oriyo, N.M. (2016) The risk of Dengue virus transmission in Dar es Salaam, Tanzania during an epidemic period of 2014. PLoS Neglected Tropical Diseases 10(1): e004313. Doi: 10.137 1/journal.pntd.0004313","The risk of Dengue virus transmission in Dar es Salaam, Tanzania during an epidemic period of 2014",Dengue virus,PLoS Neglected Tropical Diseases,2016,10,1,e004313,,10,10.137 1/journal.pntd.0004313,,,,,,,,"BACKGROUND:In 2010, 2012, 2013 and 2014 dengue outbreaks have been reported in Dar es Salaam, Tanzania. However, there is no comprehensive data on the risk of transmission of dengue in the country. The objective of this study was to assess the risk of transmission of dengue in Dar es Salaam during the 2014 epidemic.                                                                                                                                 METHODOLOGY/PRINCIPAL FINDINGS: This cross-sectional study was conducted in Dar es Salaam, Tanzania during the dengue outbreak of 2014. The study involved Ilala, Kinondoni and Temeke districts. Adult mosquitoes were collected using carbon dioxide-propane powered Mosquito Magnet Liberty Plus traps. In each household compound, water-holding containers were examined for mosquito larvae and pupae. Dengue virus infection of mosquitoes was determined using real-time reverse transcription polymerase chain reaction (qRT-PCR). Partial amplification and sequencing of dengue virus genome in infected mosquitoes was performed. A total of 1,000 adult mosquitoes were collected. Over half (59.9%) of the adult mosquitoes were collected in Kinondoni. Aedes aegypti accounted for 17.2% of the mosquitoes of which 90.6% were from Kinondoni. Of a total of 796 houses inspected, 38.3% had water-holding containers in their premises. Kinondoni had the largest proportion of water-holding containers (57.7%), followed by Temeke (31.4%) and Ilala (23.4%). The most common breeding containers for the Aedes mosquitoes were discarded plastic containers and tires. High Aedes infestation indices were observed for all districts and sites, with a house index of 18.1% in Ilala, 25.5% in Temeke and 35.3% in Kinondoni. The respective container indices were 77.4%, 65.2% and 80.2%. Of the reared larvae and pupae, 5,250 adult mosquitoes emerged, of which 61.9% were Ae. aegypti. Overall, 27 (8.18) of the 330 pools of Ae. aegypti were positive for dengue virus. On average, the overall maximum likelihood estimate (MLE) indicates pooled infection rate of 8.49 per 1,000 mosquitoes (95%CI = 5.72-12.16). There was no significant difference in pooled infection rates between the districts. Dengue viruses in the tested mosquitoes clustered into serotype 2 cosmopolitan genotype.                                                                                                                                                                                 CONCLUSIONS/SIGNIFICANCE: Ae. aegypti is the main vector of dengue in Dar es Salaam and breeds mainly in medium size plastic containers and tires. The Aedes house indices were high, indicating that the three districts were at high risk of dengue transmission. The 2014 dengue outbreak was caused by Dengue virus serotype 2. The high mosquito larval and pupal indices in the area require intensification of vector surveillance along with source reduction and health education."
"Shayo, E.H., Senkoro, K.P., Momburi, R., Olsen, O.E., Byskov, J., Makundi, E.A., Kamuzora, P., Mboera, L.E.G. (2016) Access and utilisation of health care services in rural Tanzania: a comparison of public and non-public facilities using quality, equity and trust dimensions. Global Public Health. February 2016. http://dx.doi.org/10.1080/17441692.2015.1132750","Access and utilisation of health care services in rural Tanzania: a comparison of public and non-public facilities using quality, equity and trust dimensions",health care services,Global Public Health,2016,,,,,8, http://dx.doi.org/10.1080/17441692.2015.1132750,,,,,,,,"This study compared the access and utilisation of health services in public and non-public health facilities in terms of quality, equity and trust in the Mbarali district, Tanzania. Interviews, focus group discussions, and informal discussions were used to generate data. Of the 1836 respondents, 1157 and 679 respondents sought healthcare services on their last visit at public or non-public health facilities, respectively. While 45.5% rated the quality of services to be good in both types of facilities, reported medicine shortages were more pronounced among those who visited public rather than non-public health facilities (OR = 1.7, 95% CI 1.4, 2.1). Respondents who visited public facilities were 4.9 times less likely than those who visited non-public facilities to emphasise the influence of cost in accessing and utilising health care (OR = 4.9, CI 3.9-6.1). A significant difference was also found in the provider-client relationship satisfaction level between non-public (89.1%) and public facilities (74.7%) (OR = 2.8, CI: 1.5-5.0), indicating a level of lower trust in the later. Revised strategies are needed to ensure availability of medicines in public facilities, which are used by the majority of the population, while strengthening private-public partnerships to harmonise healthcare costs."
"Sumari, D., Dillip, A., Ndume, V., Mugasa, J.P., Gwakisa, P.S. (2016) Knowledge, attitudes and practices on malaria in relation to its transmission among primary school children in Bagamoyo district, Tanzania. Malaria World Journal 7:2"," Knowledge, attitudes and practices on malaria in relation to its transmission among primary school children in Bagamoyo district, Tanzania.", malaria,Malaria World Journal,2016,7,,2,,5,,,,,,,,,"Communities’ knowledge, attitudes and practices on malaria disease often remain unobserved during malaria control efforts. In Tanzania, many studies focus on increasing community knowledge and awareness on malaria prevention but the potential participation and contribution of schoolchildren towards knowledge, attitudes and practices on malaria has received little attention. We investigated the knowledge and understanding of primary school children on malaria transmission, recognition of symptoms, treatment seeking behaviour, preventive measures and practices in order to potentially include this group in Tanzania’s malaria control efforts. 125 children were recr uited fr om thr ee purposively selected primar y schools in Bagamoyo district, Tanzania. A semi-structured interview guide, including both closed and open-ended questions, was used to collect information from the participants to obtain their knowledge and understanding on malaria transmission, treatment and prevention. More than half of the school children (79/125; 63.2% ) had knowledge on malar ia as a disease and its transmission; 101/125 (80.8%) of the respondents reported that going to the hospital was their immediate care-seeking behaviour once they felt malaria symptoms, while 14/125 (11.2%) opted for self-medication. With regard to malaria prevention and control, 115/125 (92.0%) of the respondents reported using bednets as their main malaria prevention strategy, while 6/125 (4.8%) preferred the use of medicine, mostly artemether lumefantrine, as prophylaxis. Narratives obtained were able to explain clearly the rationale behind different options children took to treat and to protect themselves against malaria. Findings indicated that primary school childr en in Bagamoyo district ar e aware of malaria, its symptoms and preventive measures, although some had misconceptions and could not associate the disease with its transmission. We conclude that inclusion of school children on malaria control educational programmes could yield substantial benefits towards malaria elimination."
"Watson, D., Lees, S., Mwanga, J., Neke, N., Changalucha, J., Broutet, N., Maduhu, I., Kapiga, S., Chandra-Mouli, V., Bloem, P. & Ross, D.A. (2016) Feasibility and acceptability of delivering adolescent health interventions alongside HPV vaccination in Tanzania. Health Policy and Planning 1-9: doi: 10.1093/heapol/czv 119.",Feasibility and acceptability of delivering adolescent health interventions alongside HPV vaccination in Tanzania., delivering adolescent health intervention,Health Policy and Planning,2016,,,1,9,11,10.1093/heapol/czv 119,,,,,,,,"BACKGROUND: Human papillomavirus (HPV) vaccination offers an opportunity to strengthen provision of adolescent health interventions (AHI). We explored the feasibility of integrating other AHI with HPV vaccination in Tanzania.                                                                                                                                                                                                                              METHODS: A desk review of 39 policy documents was preceded by a stakeholder meeting with 38 policy makers and partners. Eighteen key informant interviews (KIIs) with health and education policy makers and district officials were conducted to further explore perceptions of current programs, priorities and AHI that might be suitable for integration with HPV vaccination.                                                                                                                                                                                                                                                                                                                     RESULTS: Fourteen school health interventions (SHI) or AHI are currently being implemented by the Government of Tanzania. Most are delivered as vertical programmes. Coverage of current programs is not universal, and is limited by financial, human resource and logistic constraints. Limited community engagement, rumours, and lack of strategic advocacy has affected uptake of some interventions, e.g. tetanus toxoid (TT) immunization. Stakeholder and KI perceptions and opinions were limited by a lack of experience with integrated delivery and AHI that were outside an individual's area of expertise and experience. Deworming and educational sessions including reproductive health education were the most frequently mentioned interventions that respondents considered suitable for integrated delivery with HPV vaccine.                                                                                                                           CONCLUSIONS: Given programme constraints, limited experience with integrated delivery and concern about real or perceived side-effects being attributed to the vaccine, it will be very important to pilot-test integration of AHI/SHI with HPV vaccination. Selected interventions will need to be simple and quick to deliver since health workers are likely to face significant logistic and time constraints during vaccination visits."
"Kisoka, W.J., Tersbøl, B.P., Meyrowitsch, D.W., Simonsen, P.E., Mushi, D.L. (2016) Community members' perceptions of mass drug administration for control of lymphatic filariasis in rural and urban Tanzania. Journal of Biosocial Sciences 2016 48(1):94-112. doi: 10.1017/S0021932015000024.",Community members' perceptions of mass drug administration for control of lymphatic filariasis in rural and urban Tanzania,Lymphatic Filariasis,Journal of Biosocial Sciences,2016,48,1,94,112,5,10.1017/S0021932015000024,1,"Kisoka, WJ",First Author,"National Institute for Medical Research, Dar es Salaam, Tanzania","Tumaini University, Kilimanjaro Christian Medical College, Moshi, Tanzania","Kisoka, WJ",,"Lymphatic filariasis is one of several neglected tropical diseases with severely disabling and stigmatizing manifestations that are referred to as 'neglected diseases of poverty'. It is a mosquito-borne disease found endemically and exclusively in low-income contexts where, concomitantly, general public health care is often deeply troubled and fails to meet the basic health needs of impoverished populations. This presents particular challenges for the implementation of mass drug administration (MDA), which currently is the principal means of control and eventual elimination. Several MDA programmes face the dilemma that they are unable to attain and maintain the required drug coverage across target groups. In recognition of this, a qualitative study was conducted in the Morogoro and Lindi regions of Tanzania to gain an understanding of community experiences with, and perceptions of, the MDA campaign implemented in 2011 by the National Lymphatic Filariasis Elimination Programme. The study revealed a wide variation of perceptions and experiences regarding the aim, rationale and justification of MDA. There were positive sentiments about the usefulness of the drugs, but many study participants were sceptical about the manner in which MDA is implemented. People were particularly disappointed with the limited attempts by implementers to share information and mobilize residents. In addition, negative sentiments towards MDA for lymphatic filariasis reflected a general feeling of desertion and marginalization by the health care system and political authorities. However, the results suggest that if the communities are brought on board with genuine respect for their integrity and informed self-determination, there is scope for major improvements in community support for MDA-based control activities."
"Assenga, J.A., Matemba, L.E., Muller, S.K., Mhamphi, G.G., Kazwala, R.R. (2015) Predominant Leptospiral serogroups circulating among humans, livestock and wildlife in Katavi-Rukwa Ecosystem, Tanzania. PLoS Neglected Tropical Diseases 9 (3): e0003607. doi:10.1371/journal.pntd.0003607. ","Predominant Leptospiral serogroups circulating among humans, livestock and wildlife in Katavi-Rukwa Ecosystem, Tanzania.",Leptospiral,PLoS Neglected Tropical Diseases,2015,9,3,,,5,10.1371/journal.pntd.0003607,1,"Matemba, LE",Co-Author,,,,,"Background: Leptospirosis is a worldwide zoonotic disease and a serious, under-reported public health problem, particularly in rural areas of Tanzania. In the Katavi-Rukwa ecosystem, humans, livestock and wildlife live in close proximity, which exposes them to the risk of a number of zoonotic infectious diseases, including leptospirosis. Methodology/Principal Findings: A cross-sectional epidemiological study was carried out in the Katavi region, South-west Tanzania, to determine the seroprevalence of Leptospira spp in humans, domestic rumi- nants and wildlife. Blood samples were collected from humans (n = 267), cattle (n = 1,103), goats (n = 248), buffaloes (n = 38), zebra (n = 2), lions (n = 2), rodents (n = 207) and shrews (n = 11). Decanted sera were tested using the Microscopic Agglutination Test (MAT) for an- tibodies against six live serogroups belonging to the Leptospira spp , with a cutoff point of 1:160. The prevalence of leptospiral antibodies was 29.96% in humans, 30.37% in cattle, 8.47% in goats, 28.95% in buffaloes, 20.29% in rodents and 9.09% in shrews. Additionally, one of the two samples in lions was seropositive. A significant difference in the prevalence P < 0.05 was observed between cattle and goats. No significant difference in prevalence was observed with respect to age and sex in humans or any of the sampled animal species. The most prevalent serogroups with antibodies of Leptospira spp were Sejroe, Hebdoma- dis, Grippotyphosa, Icterohaemorrhagie and Australis, which were detected in humans, cattle, goats and buffaloes; Sejroe and Grippotyphosa, which were detected in a lion; Aus- tralis, Icterohaemorrhagie and Grippotyphosa, which were detected in rodents; and Austra- lis, which was detected in shrews. Antibodies to serogroup Ballum were detected only in humans. Conclusions: The results of this study demonstrate that leptospiral antibodies are widely prevalent in hu- mans, livestock and wildlife from the Katavi-Rukwa ecosystem. The disease poses a seri- ous economic and public health threat in the study area. This epidemiological study provides information on circulating serogroups, which will be essential in designing inter- vention measures to reduce the risk of disease transmission."
